step,epoch,loss,learning_rate,grad_norm,step_time,eval_loss,eval_accuracy
0,0.0,2.7972881939777303,0.15,1.8583310766923589,7.945499964989722e-05,,
0,0.0,,,,,2.3779904125699787,0.13055555555555556
1,0.0223,2.2854423005764852,0.15,0.8937126359423232,6.687000131933019e-05,,
2,0.0445,2.384340152199105,0.15,1.046941157582039,7.226100206025876e-05,,
3,0.0668,2.165525792400042,0.15,1.0830603407621315,6.207999831531197e-05,,
4,0.0891,2.393067027704162,0.15,0.946498799068667,5.891399996471591e-05,,
5,0.1113,2.025470551030836,0.15,0.7586601541674481,5.64500005566515e-05,,
5,0.1113,,,,,2.1190531802826422,0.26666666666666666
6,0.1336,2.0688180779910246,0.15,0.7729771158440777,9.527599831926636e-05,,
7,0.1559,2.112601697529927,0.15,0.7534729403660417,7.16499998816289e-05,,
8,0.1781,2.149622163245116,0.15,0.747511338605687,6.13390002399683e-05,,
9,0.2004,2.0684877500613483,0.15,0.7189426394631189,5.867400250281207e-05,,
10,0.2227,2.0376065445486367,0.15,0.6874086334402538,5.781299842055887e-05,,
10,0.2227,,,,,2.0008726845906155,0.34444444444444444
11,0.245,2.0082384128095425,0.15,0.6281967254320967,6.165000013425015e-05,,
12,0.2672,1.9844122288726083,0.15,0.7600591731975574,5.609900108538568e-05,,
13,0.2895,1.86035052774912,0.15,0.6665435710791131,5.451600009109825e-05,,
14,0.3118,2.033608060655003,0.15,0.7932057400368834,5.3935000323690474e-05,,
15,0.334,1.8972492625351436,0.15,0.6472819760969477,5.483700078912079e-05,,
15,0.334,,,,,1.8992224237611137,0.4083333333333333
16,0.3563,1.8990938863513303,0.15,0.6550084128266779,5.6920998758869246e-05,,
17,0.3786,1.8631891970524088,0.15,0.6142237546245761,5.665100252372213e-05,,
18,0.4008,1.7438415558494302,0.15,0.7668508323858106,5.660000169882551e-05,,
19,0.4231,1.7187804520344525,0.15,0.8509361612235363,5.546800093725324e-05,,
20,0.4454,1.944485833154666,0.15,0.7771551279688508,5.408499782788567e-05,,
20,0.4454,,,,,1.7854603948368934,0.48055555555555557
21,0.4676,1.7926472054273672,0.15,0.6991330579888565,5.655999848386273e-05,,
22,0.4899,1.7160421774755594,0.15,0.6599684653609132,5.507700188900344e-05,,
23,0.5122,1.717313220976119,0.15,0.8086245539492415,5.3935000323690474e-05,,
24,0.5344,1.6131072252223086,0.15,0.7803936212843222,5.351399886421859e-05,,
25,0.5567,1.7349387495769661,30.0,0.752703992911842,5.0759001169353724e-05,,
25,0.5567,,,,,126.85319669530189,0.1
26,0.579,133.68341710092716,30.0,37.857591925151226,0.00014051300240680575,,
27,0.6013,inf,30.0,nan,7.023700163699687e-05,,
